	value
interest_rate	0.01
income_shock_mean	0.0005189178906090192
income_shock_std	0.14273007991578301
taste_shock_scale	0.9504586642913144
discount_factor	0.9709632670536086
rho	0.22989615257447196
gamma	[0.71175505 1.36417449 1.95935094 1.6788829 ]
beta0	-7.345297182291478
beta1	0.0522079071554149
beta2	-0.00039990127757634844
kappa1	0.015352204332172487
kappa2	0.0018755456202365411
phi_entry	0.8960603806634357
phi_exit	0.9690724755639688
phi_switch	1.0247571686653367
alpha1	0.000417
alpha2	0.099277
b_scale	1.2420308478407336
xi	0.269160427704571
eta_edu	0.43848
